NO.,Time,Interval,Indoor Temperature(°C),Indoor Humidity(%),Outdoor Temperature(°C),Outdoor Humidity(%),Relative Pressure(mmHg),Absolute Pressure(mmHg),Wind Speed(km/h),Gust(km/h),Wind Direction,DewPoint(°C),WindChill(°C),Hour Rainfall(mm),24 Hour Rainfall(mm),Week Rainfall(mm),Month Rainfall(mm),Total Rainfall(mm)
1,01/03/2022,5,27.4,70,23.7,87,757.4,725.8,8.6,13.3,S,21.4,22.9,0.00,0.00,69.60,0.00,153.90
2,01/03/2022 00:05:00,5,27.4,70,23.6,88,757.6,725.9,5.0,7.2,SSW,21.5,23.6,0.00,0.00,69.60,0.00,153.90
3,01/03/2022 00:10:00,5,27.4,70,23.6,88,757.8,726.2,6.1,9.7,SW,21.5,23.6,0.00,0.00,69.60,0.00,153.90
4,01/03/2022 00:15:00,5,27.4,70,23.4,89,757.7,726.0,5.0,7.2,WSW,21.5,23.4,0.00,0.00,69.60,0.00,153.90
5,01/03/2022 00:20:00,5,27.4,70,23.2,90,757.4,725.8,3.6,6.1,SSE,21.5,23.2,0.00,0.00,69.60,0.00,153.90
6,01/03/2022 00:25:00,5,27.4,70,23.2,89,757.3,725.6,6.1,9.7,SE,21.3,23.2,0.00,0.00,69.60,0.00,153.90
7,01/03/2022 00:30:00,5,27.4,70,23.1,90,757.1,725.5,6.1,13.3,E,21.4,23.1,0.00,0.00,69.60,0.00,153.90
8,01/03/2022 00:35:00,5,27.4,70,23.0,91,757.2,725.6,2.5,3.6,ESE,21.5,23.0,0.00,0.00,69.60,0.00,153.90
9,01/03/2022 00:40:00,5,27.4,70,23.0,91,757.7,726.0,0.0,0.0,SE,21.5,23.0,0.00,0.00,69.60,0.00,153.90
10,01/03/2022 00:45:00,5,27.4,70,23.0,91,757.8,726.2,1.1,2.5,SE,21.5,23.0,0.30,0.30,69.90,0.30,154.20
11,01/03/2022 00:50:00,5,27.4,70,22.8,92,757.6,725.9,3.6,6.1,ESE,21.5,22.8,0.60,0.60,70.20,0.60,154.50
12,01/03/2022 00:55:00,5,27.4,70,22.7,93,757.4,725.8,3.6,3.6,ESE,21.5,22.7,0.90,0.90,70.50,0.90,154.80
13,01/03/2022 01:00:00,5,27.4,70,22.5,94,757.3,725.6,3.6,6.1,ESE,21.5,22.5,0.60,1.50,71.10,1.50,155.40
14,01/03/2022 01:05:00,5,27.4,70,22.5,94,757.3,725.6,3.6,6.1,SE,21.5,22.5,0.90,1.80,71.40,1.80,155.70
15,01/03/2022 01:10:00,5,27.4,70,22.5,94,757.7,726.1,5.0,6.1,E,21.5,22.5,0.90,1.80,71.40,1.80,155.70
16,01/03/2022 01:15:00,5,27.4,70,22.3,95,757.2,725.6,2.5,3.6,ESE,21.5,22.3,0.90,1.80,71.40,1.80,155.70
17,01/03/2022 01:20:00,5,27.4,70,22.2,95,757.4,725.8,1.1,2.5,SE,21.4,22.2,1.20,2.10,71.70,2.10,156.00
18,01/03/2022 01:25:00,5,27.4,70,22.2,95,757.2,725.6,5.0,7.2,ESE,21.4,22.2,1.20,2.10,71.70,2.10,156.00
19,01/03/2022 01:30:00,5,27.4,70,22.2,95,757.0,725.3,8.6,13.3,ESE,21.4,21.3,1.50,2.40,72.00,2.40,156.30
20,01/03/2022 01:35:00,5,27.4,70,22.1,96,756.9,725.3,11.2,17.3,ESE,21.5,20.5,1.80,2.70,72.30,2.70,156.60
21,01/03/2022 01:40:00,5,27.4,70,22.0,96,756.7,725.0,7.2,13.3,ESE,21.4,21.5,2.10,3.00,72.60,3.00,156.90
22,01/03/2022 01:45:00,5,27.4,70,22.0,95,756.6,725.0,11.2,17.3,ESE,21.2,20.4,2.40,3.30,72.90,3.30,157.20
